x,y
1.576624000000000024e+03,1.576624000000000024e+03
1.576624000000000024e+03,1.580330999999999904e+03
1.580330999999999904e+03,1.588458000000000084e+03
1.588458000000000084e+03,1.603128999999999905e+03
1.603128999999999905e+03,1.604258000000000038e+03
1.604258000000000038e+03,1.607111000000000104e+03
1.607111000000000104e+03,1.608469000000000051e+03
1.608469000000000051e+03,1.607266000000000076e+03
1.607266000000000076e+03,1.606096000000000004e+03
1.606096000000000004e+03,1.599202999999999975e+03
1.599202999999999975e+03,1.571324000000000069e+03
1.571324000000000069e+03,1.565584000000000060e+03
1.565584000000000060e+03,1.564933999999999969e+03
1.564933999999999969e+03,1.538369999999999891e+03
1.538369999999999891e+03,1.476384000000000015e+03
1.476384000000000015e+03,1.316459000000000060e+03
1.316459000000000060e+03,1.209840999999999894e+03
1.209840999999999894e+03,1.183806000000000040e+03
1.183806000000000040e+03,1.165788999999999987e+03
1.165788999999999987e+03,1.143272999999999911e+03
1.143272999999999911e+03,1.122623000000000047e+03
1.122623000000000047e+03,1.123232999999999947e+03
1.123232999999999947e+03,1.127583000000000084e+03
1.127583000000000084e+03,1.127016000000000076e+03
1.127016000000000076e+03,1.114726000000000113e+03
1.114726000000000113e+03,1.108118999999999915e+03
1.108118999999999915e+03,1.112449000000000069e+03
1.112449000000000069e+03,1.135333000000000084e+03
1.135333000000000084e+03,1.146252999999999929e+03
1.146252999999999929e+03,1.149432999999999993e+03
1.149432999999999993e+03,1.151613000000000056e+03
1.151613000000000056e+03,1.152222999999999956e+03
1.152222999999999956e+03,1.386359999999999900e+03
1.386359999999999900e+03,1.462873000000000047e+03
1.462873000000000047e+03,1.481935999999999922e+03
1.481935999999999922e+03,1.488845000000000027e+03
1.488845000000000027e+03,1.491441000000000031e+03
1.491441000000000031e+03,1.495352000000000089e+03
1.495352000000000089e+03,1.496487000000000080e+03
1.496487000000000080e+03,1.498301999999999907e+03
1.498301999999999907e+03,1.504133000000000038e+03
1.504133000000000038e+03,1.504292999999999893e+03
1.504292999999999893e+03,1.503532999999999902e+03
1.503532999999999902e+03,1.496222999999999956e+03
1.496222999999999956e+03,1.496262999999999920e+03
1.496262999999999920e+03,1.250647999999999911e+03
1.250647999999999911e+03,1.001833999999999946e+03
1.001833999999999946e+03,9.595349999999999682e+02
9.595349999999999682e+02,9.210330000000000155e+02
9.210330000000000155e+02,9.205950000000000273e+02
9.205950000000000273e+02,8.737630000000000337e+02
8.737630000000000337e+02,8.503999999999999773e+02
8.503999999999999773e+02,8.387830000000000155e+02
8.387830000000000155e+02,8.373450000000000273e+02
8.373450000000000273e+02,8.280529999999999973e+02
8.280529999999999973e+02,8.281730000000000018e+02
8.281730000000000018e+02,8.788410000000000082e+02
8.788410000000000082e+02,8.877549999999999955e+02
8.877549999999999955e+02,8.923379999999999654e+02
8.923379999999999654e+02,9.160769999999999982e+02
9.160769999999999982e+02,9.346520000000000437e+02
9.346520000000000437e+02,9.439349999999999454e+02
9.439349999999999454e+02,9.639249999999999545e+02
9.639249999999999545e+02,1.005482999999999947e+03
1.005482999999999947e+03,1.088602000000000089e+03
1.088602000000000089e+03,1.254838999999999942e+03
1.254838999999999942e+03,1.587315000000000055e+03
1.587315000000000055e+03,1.694894999999999982e+03
1.694894999999999982e+03,1.799583000000000084e+03
1.799583000000000084e+03,1.806192999999999984e+03
1.806192999999999984e+03,1.806192999999999984e+03
1.806192999999999984e+03,1.814192999999999984e+03
1.814192999999999984e+03,1.816663000000000011e+03
1.816663000000000011e+03,1.816702999999999975e+03
1.816702999999999975e+03,1.752190000000000055e+03
1.752190000000000055e+03,1.669173000000000002e+03
1.669173000000000002e+03,1.503112000000000080e+03
1.503112000000000080e+03,1.170887999999999920e+03
1.170887999999999920e+03,1.039888999999999896e+03
1.039888999999999896e+03,9.752110000000000127e+02
9.752110000000000127e+02,9.113129999999999882e+02
9.113129999999999882e+02,9.112530000000000427e+02
9.112530000000000427e+02,8.813339999999999463e+02
8.813339999999999463e+02,8.510009999999999764e+02
8.510009999999999764e+02,7.830890000000000555e+02
7.830890000000000555e+02,6.482440000000000282e+02
6.482440000000000282e+02,6.043440000000000509e+02
6.043440000000000509e+02,5.754579999999999700e+02
5.754579999999999700e+02,5.740960000000000036e+02
5.740960000000000036e+02,5.683740000000000236e+02
5.683740000000000236e+02,5.504039999999999964e+02
5.504039999999999964e+02,5.350130000000000337e+02
5.350130000000000337e+02,5.291130000000000564e+02
5.291130000000000564e+02,5.282229999999999563e+02
5.282229999999999563e+02,5.229930000000000518e+02
5.229930000000000518e+02,4.990740000000000123e+02
4.990740000000000123e+02,5.106200000000000045e+02
5.106200000000000045e+02,5.341860000000000355e+02
5.341860000000000355e+02,5.404940000000000282e+02
5.404940000000000282e+02,5.318269999999999982e+02
